row_number,field_name,error_code,error_message,order_id
1,Full_Name,MISSING_FIELD,Name field 'Full_Name' is empty,Row 1
1,Contact_Email,MISSING_FIELD,Email field is empty,Row 1
1,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 1
2,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 2
2,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 2
3,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 3
3,Full_Name,MISSING_FIELD,Name field 'Full_Name' is empty,Row 3
3,Contact_Email,GMAIL_FORMAT_INVALID,Gmail local part must be between 6 and 30 characters.,Row 3
4,Contact_Email,MISSING_FIELD,Email field is empty,Row 4
4,Mobile_No,INVALID_PHONE,Phone length (0) falls outside fallback range of 7-15 digits.,Row 4
5,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 5
5,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user5@' is invalid.,Row 5
5,Mobile_No,INVALID_PHONE,Phone length (5) falls outside fallback range of 7-15 digits.,Row 5
5,Join_Date,DATE_INVALID,Date '32/13/2025' does not match any accepted formats (e.g. YYYY-MM-DD),Row 5
6,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user6gmail.com' is invalid.,Row 6
6,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 6
7,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '!!!' contains digits or special symbols.,Row 7
7,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user7@' is invalid.,Row 7
7,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 7
8,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 8
8,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '12345' contains digits or special symbols.,Row 8
8,Contact_Email,MISSING_FIELD,Email field is empty,Row 8
8,Mobile_No,INVALID_PHONE,Phone length (0) falls outside fallback range of 7-15 digits.,Row 8
8,Join_Date,DATE_INVALID,Date '2025-99-99' does not match any accepted formats (e.g. YYYY-MM-DD),Row 8
9,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 9
9,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user9gmail.com' is invalid.,Row 9
9,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 9
9,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 9
10,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 10
10,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 10
10,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 10
11,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 11
11,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user11gmail.com' is invalid.,Row 11
11,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 11
11,Join_Date,DATE_INVALID,Date '2025-99-99' does not match any accepted formats (e.g. YYYY-MM-DD),Row 11
12,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 12
12,Join_Date,DATE_INVALID,Date '32/13/2025' does not match any accepted formats (e.g. YYYY-MM-DD),Row 12
13,Contact_Email,MISSING_FIELD,Email field is empty,Row 13
13,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 13
13,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 13
14,Mobile_No,INVALID_PHONE,Phone length (5) falls outside fallback range of 7-15 digits.,Row 14
14,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 14
15,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 15
15,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user15@' is invalid.,Row 15
15,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 15
15,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 15
16,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 16
16,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 16
16,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 16
17,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 17
17,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user17@' is invalid.,Row 17
17,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 17
18,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 18
19,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 19
19,Mobile_No,INVALID_PHONE,Phone length (5) falls outside fallback range of 7-15 digits.,Row 19
20,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '12345' contains digits or special symbols.,Row 20
20,Mobile_No,INVALID_PHONE,Phone length (5) falls outside fallback range of 7-15 digits.,Row 20
20,Join_Date,DATE_INVALID,Date '32/13/2025' does not match any accepted formats (e.g. YYYY-MM-DD),Row 20
21,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 21
21,Mobile_No,INVALID_PHONE,Phone length (0) falls outside fallback range of 7-15 digits.,Row 21
21,Join_Date,DATE_INVALID,Date '32/13/2025' does not match any accepted formats (e.g. YYYY-MM-DD),Row 21
22,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '12345' contains digits or special symbols.,Row 22
22,Contact_Email,MISSING_FIELD,Email field is empty,Row 22
23,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '!!!' contains digits or special symbols.,Row 23
23,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user23gmail.com' is invalid.,Row 23
23,Mobile_No,INVALID_PHONE,Phone length (5) falls outside fallback range of 7-15 digits.,Row 23
23,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 23
24,Full_Name,NAME_FORMAT_SUSPICIOUS,Name '12345' contains digits or special symbols.,Row 24
24,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 24
24,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 24
25,Full_Name,MISSING_FIELD,Name field 'Full_Name' is empty,Row 25
25,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 25
25,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 25
25,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 25
26,Contact_Email,MISSING_FIELD,Email field is empty,Row 26
26,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 26
27,Contact_Email,MISSING_FIELD,Email field is empty,Row 27
27,Mobile_No,INVALID_PHONE,Phone length (0) falls outside fallback range of 7-15 digits.,Row 27
28,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 28
28,Contact_Email,MISSING_FIELD,Email field is empty,Row 28
28,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 28
28,Join_Date,DATE_INVALID,Date '2025-99-99' does not match any accepted formats (e.g. YYYY-MM-DD),Row 28
29,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 29
29,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 29
30,Full_Name,MISSING_FIELD,Name field 'Full_Name' is empty,Row 30
30,Contact_Email,MISSING_FIELD,Email field is empty,Row 30
30,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 30
30,Join_Date,DATE_INVALID,Date '2025-99-99' does not match any accepted formats (e.g. YYYY-MM-DD),Row 30
31,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 31
31,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 31
31,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 31
32,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 32
32,Contact_Email,EMAIL_FORMAT_INVALID,Email 'user32@' is invalid.,Row 32
32,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 32
32,Join_Date,MISSING_FIELD,Date field 'Join_Date' is empty,Row 32
33,Client_ID,MISSING_FIELD,Identifier column 'Client_ID' is empty,Row 33
33,Mobile_No,MISSING_FIELD,Phone field 'Mobile_No' is empty,Row 33
33,Join_Date,DATE_INVALID,Date '32/13/2025' does not match any accepted formats (e.g. YYYY-MM-DD),Row 33
34,Contact_Email,EMAIL_FORMAT_INVALID,Email 'invalid-email' is invalid.,Row 34
34,Join_Date,DATE_INVALID,Date '2025-99-99' does not match any accepted formats (e.g. YYYY-MM-DD),Row 34
35,Full_Name,MISSING_FIELD,Name field 'Full_Name' is empty,Row 35
