row_number,field_name,error_code,error_message,order_id
2,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'wason.com'. Only valid mail services allowed.,848133
3,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'gola.info'. Only valid mail services allowed.,511492
5,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'chauhan.com'. Only valid mail services allowed.,905038
6,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'kulkarni-comar.net'. Only valid mail services allowed.,541502
7,email,MISSING_FIELD,Email field is empty,866511
9,email,MISSING_FIELD,Email field is empty,553987
11,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'tiwari.net'. Only valid mail services allowed.,847839
12,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'chakraborty.com'. Only valid mail services allowed.,583064
15,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'garde.com'. Only valid mail services allowed.,269218
16,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'balakrishnan.com'. Only valid mail services allowed.,277847
17,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'sridhar.biz'. Only valid mail services allowed.,457035
18,email,MISSING_FIELD,Email field is empty,597401
19,email,MISSING_FIELD,Email field is empty,531065
24,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'thaman-subramaniam.org'. Only valid mail services allowed.,628023
25,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'wadhwa.biz'. Only valid mail services allowed.,217981
26,email,MISSING_FIELD,Email field is empty,486172
30,email,MISSING_FIELD,Email field is empty,474993
32,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'dewan.com'. Only valid mail services allowed.,595639
33,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'vala.com'. Only valid mail services allowed.,760885
34,email,MISSING_FIELD,Email field is empty,643914
35,email,MISSING_FIELD,Email field is empty,890029
37,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'hans.org'. Only valid mail services allowed.,305198
39,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'sharaf.com'. Only valid mail services allowed.,285490
40,email,MISSING_FIELD,Email field is empty,858599
42,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'dhillon.org'. Only valid mail services allowed.,440442
43,email,MISSING_FIELD,Email field is empty,410423
44,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'khurana.com'. Only valid mail services allowed.,498577
46,email,MISSING_FIELD,Email field is empty,143476
48,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'rajan.com'. Only valid mail services allowed.,678221
49,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'thaker.com'. Only valid mail services allowed.,552159
50,email,MISSING_FIELD,Email field is empty,136596
52,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'sule-divan.info'. Only valid mail services allowed.,530489
54,email,MISSING_FIELD,Email field is empty,493386
55,email,MISSING_FIELD,Email field is empty,863233
56,email,MISSING_FIELD,Email field is empty,318287
57,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'som-chaudhry.com'. Only valid mail services allowed.,463727
58,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'sabharwal.com'. Only valid mail services allowed.,240679
59,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'jaggi-sekhon.com'. Only valid mail services allowed.,238575
61,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'ramakrishnan.com'. Only valid mail services allowed.,742912
62,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'lalla.com'. Only valid mail services allowed.,474303
63,email,INVALID_EMAIL_DOMAIN,Email has invalid domain 'srinivasan.org'. Only valid mail services allowed.,273809
